,HHID,ORIGIN_OF_TRIP,DESTINATION_OF_TRIP,TT_WALK,WALKABILITY_INDEX,TT_CYCLE,BIKEABILITY_INDEX,TT_PT,FARE_PT,WT_PT,AT_PT,AC_PT,TT_CAR,FC_CAR,PC_CAR,CC_CAR,INCOME,GENDER,AGE,CAR OWNERSHIP,CHOSEN_MODE,AV_WALK,AV_CYCLE,AV_PT,AV_CAR
0,1,3,6,52,21,50,4,46,3,13,7,4,24,1,6,3,99,2,43,1,1,1,1,1,1
1,2,6,6,17,60,12,59,28,5,4,15,5,35,3,3,3,69,1,37,1,2,1,1,1,1
2,3,9,6,44,20,18,56,44,3,8,16,0,27,1,7,3,73,1,19,1,2,1,1,1,1
3,4,3,2,48,48,31,84,32,5,15,27,5,35,3,3,8,54,1,37,1,2,1,1,1,1
4,5,5,2,46,86,50,21,13,7,3,11,2,30,3,2,8,68,1,26,0,2,1,1,1,1
5,6,3,7,16,20,14,69,58,2,6,21,1,28,3,8,6,62,1,43,1,2,1,1,1,1
6,7,9,8,38,6,18,19,48,3,5,6,2,48,2,1,7,25,1,69,0,4,1,1,1,1
7,8,4,4,48,23,23,17,36,2,9,19,2,29,2,7,7,88,1,49,0,2,1,1,1,1
8,9,8,3,31,66,14,35,10,4,2,16,2,36,3,1,8,43,2,50,1,2,1,1,1,1
9,10,5,4,20,48,56,25,40,1,2,27,2,25,1,4,10,62,1,68,0,4,1,1,1,1
10,11,2,2,52,56,45,6,13,3,19,22,0,33,1,3,9,20,2,66,1,2,1,1,1,1
11,12,3,2,24,36,58,24,45,5,10,29,2,27,1,3,8,79,2,62,0,1,1,1,1,1
12,13,9,8,27,37,15,87,51,3,11,11,1,32,3,6,9,31,2,46,1,2,1,1,1,1
13,14,5,9,41,80,18,93,12,7,8,13,5,28,1,6,5,15,2,33,0,2,1,1,1,1
14,15,6,5,32,18,26,18,18,5,16,29,0,10,1,1,2,97,1,26,0,4,1,1,1,1
15,16,7,8,52,1,50,12,26,3,11,22,5,26,2,1,10,25,1,44,1,4,1,1,1,1
16,17,6,4,22,18,21,21,55,4,20,13,3,45,2,2,4,67,2,34,1,1,1,1,1,1
17,18,8,1,12,92,35,3,26,2,20,20,3,21,2,7,3,53,1,21,0,2,1,1,1,1
18,19,2,9,54,26,14,99,43,7,13,17,3,60,1,4,7,73,1,68,1,2,1,1,1,1
19,20,9,8,20,6,40,55,37,5,12,6,0,40,2,6,9,38,1,52,0,2,1,1,1,1
